49178.532	9372	-12888	-1180	-132	-78	23
49178.532	10996	-14104	-1100	-116	-25	73
49178.532	10772	-14072	-900	-87	81	92
49178.532	9788	-13056	-1124	-82	90	66
49178.532	9080	-12728	-1108	-102	-28	37
49178.532	9564	-12888	-1128	-125	-69	23
49178.532	10220	-13836	-1364	-130	-67	11
49178.532	10800	-14072	-1128	-119	65	75
49178.532	10552	-13344	-880	-70	110	57
49178.532	9168	-12772	-1128	-73	-12	46
49178.596	9368	-12560	-1336	-112	-63	26
49178.596	10288	-13396	-1160	-134	-27	-2
49178.596	10744	-13824	-868	-98	39	80
49178.596	10532	-13644	-960	-62	62	81
49178.596	9464	-12876	-1192	-66	49	30
49178.596	9512	-12508	-1176	-74	-21	22
49178.596	10132	-13524	-1136	-97	-54	4
49178.596	11168	-14228	-952	-92	41	70
49178.596	10268	-14020	-1156	-46	69	69
49178.596	9348	-12832	-1220	-78	91	50
49178.648	9108	-12596	-1316	-75	-47	43
49178.648	10008	-12672	-1020	-117	-32	-1
49178.648	10668	-13848	-1200	-122	-68	23
49178.648	10420	-14144	-1088	-86	85	68
49178.648	10508	-13432	-908	-72	117	58
49178.648	8544	-12796	-1204	-81	-31	29
49178.648	9728	-12676	-1208	-140	-93	12
49178.648	10528	-13380	-1292	-113	-28	21
49178.648	11124	-14136	-1156	-97	79	75
49178.648	9928	-13968	-1060	-63	58	59
49178.713	8924	-12836	-1224	-75	64	40
49178.713	8892	-12576	-1280	-88	-62	17
49178.713	10732	-13188	-1092	-114	-43	7
49178.713	11184	-14052	-1104	-95	7	61
49178.713	10080	-13648	-1048	-86	111	87
49178.713	9068	-12808	-1300	-80	45	53
49178.713	9116	-12656	-1328	-94	-25	-1
49178.713	10476	-13000	-1296	-126	-63	30
49178.713	11620	-14128	-1080	-106	-6	37
49178.713	10524	-14184	-1156	-83	76	86
49178.782	9312	-12756	-1340	-75	125	24
49178.782	8504	-12544	-1304	-75	-23	27
49178.782	9900	-12668	-1252	-141	-63	13
49178.782	10956	-13600	-1328	-105	-74	-1
49178.782	11072	-14072	-1148	-78	76	81
49178.782	10496	-13376	-800	-53	89	60
49178.782	8412	-12700	-1344	-55	57	26
49178.782	8880	-12508	-1292	-105	-66	0
49178.782	10780	-13344	-1148	-101	-13	24
49178.782	11804	-13824	-984	-61	100	63
49178.837	10260	-13668	-1144	-60	58	57
49178.837	9148	-12828	-1084	-77	75	18
49178.837	8580	-12764	-1336	-91	2	3
49178.837	10184	-13148	-848	-116	-49	-4
49178.837	11284	-14088	-1080	-79	-58	40
49178.837	11040	-13704	-1200	-50	118	73
49178.837	9664	-12716	-1232	-54	121	33
49178.837	8468	-12640	-1332	-70	-23	41
49178.837	9576	-12880	-1044	-92	-74	18
49178.837	10596	-13864	-1096	-79	-33	40
49178.911	11184	-13936	-996	-89	97	80
49178.911	10852	-13380	-924	-66	118	67
49178.911	8840	-13036	-1104	-57	29	43
49178.911	8944	-12724	-1204	-123	-65	9
49178.911	10176	-13592	-1112	-91	-69	11
49178.911	11868	-14056	-992	-82	84	63
49178.911	10648	-13752	-872	-71	26	72
49178.911	9188	-13008	-1232	-64	61	44
