#D_ACCELX,D_ACCELY,D_ACCELZ,TRUEX,TRUEY,TRUEZ
0.02,0.01,-1.09,0,0,-1
0.07,-0.02,-0.99,0,0,-1
0.04,-0.02,-1.06,0,0,-1
-0.02,0.03,-1.04,0,0,-1
0,0.01,-1.05,0,0,-1
0.05,-0.07,-0.99,0,0,-1
-0.03,0,-1.01,0,0,-1
0.06,0.04,-1.05,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
-0.01,-0.02,-0.98,0,0,-1
