D_ACCELX,D_ACCELY,D_ACCELZ,XTRUE,YTRUE,ZTRUE,-2.26659942,-3.06918049,-2.26105857,-3.06542063,-2.30497336,-3.03424668
0.98,-0.01,0.01,1,0,0,,-5.290447922,,-3.042810044,,-3.057296414
1.09,0.01,0,1,0,0,,-5.539773858,,-3.088031216,,-3.03424668
1.07,-0.02,0,1,0,0,,-5.494441869,,-3.020199459,,-3.03424668
1.06,-0.06,-0.01,1,0,0,,-5.471775875,,-2.929757116,,-3.011196946
1,0.03,-0.09,1,0,0,,-5.33577991,,-3.133252387,,-2.826799078
1.04,-0.03,0.02,1,0,0,,-5.426443887,,-2.997588873,,-3.080346147
1.03,-0.06,0.02,1,0,0,,-5.403777893,,-2.929757116,,-3.080346147
1,0,0.02,1,0,0,,-5.33577991,,-3.06542063,,-3.080346147
0.98,0.03,0.04,1,0,0,,-5.290447922,,-3.133252387,,-3.126445614
1.03,-0.04,0,1,0,0,,-5.403777893,,-2.974978287,,-3.03424668
1,0.05,0.03,1,0,0,,-5.33577991,,-3.178473559,,-3.103395881
1.05,0,-0.03,1,0,0,,-5.449109881,,-3.06542063,,-2.965097479
1.08,0.06,0.04,1,0,0,,-5.517107864,,-3.201084144,,-3.126445614
1.03,-0.09,-0.03,1,0,0,,-5.403777893,,-2.861925359,,-2.965097479
1.02,0,0.01,1,0,0,,-5.381111898,,-3.06542063,,-3.057296414
1.01,0.02,0,1,0,0,,-5.358445904,,-3.110641801,,-3.03424668
-0.97,0.03,0.01,-1,0,0,,-0.870579053,,-3.133252387,,-3.057296414
-0.99,0.03,0.04,-1,0,0,,-0.825247064,,-3.133252387,,-3.126445614
-0.94,0.04,0.08,-1,0,0,,-0.938577035,,-3.155862973,,-3.218644549
-0.99,0.04,-0.03,-1,0,0,,-0.825247064,,-3.155862973,,-2.965097479
-0.98,0.04,0.01,-1,0,0,,-0.847913058,,-3.155862973,,-3.057296414
-0.94,0.04,0.01,-1,0,0,,-0.938577035,,-3.155862973,,-3.057296414
-0.95,0.05,0.06,-1,0,0,,-0.915911041,,-3.178473559,,-3.172545082
-0.99,0.04,-0.01,-1,0,0,,-0.825247064,,-3.155862973,,-3.011196946
-0.93,0.07,0.02,-1,0,0,,-0.961243029,,-3.22369473,,-3.080346147
-0.94,0,0.07,-1,0,0,,-0.938577035,,-3.06542063,,-3.195594815
-0.96,0,0.06,-1,0,0,,-0.893245047,,-3.06542063,,-3.172545082
-0.98,0.06,0.01,-1,0,0,,-0.847913058,,-3.201084144,,-3.057296414
-0.98,0.07,-0.02,-1,0,0,,-0.847913058,,-3.22369473,,-2.988147213
-1.01,-0.02,0.02,-1,0,0,,-0.779915076,,-3.020199459,,-3.080346147
-1.02,0.03,0.04,-1,0,0,,-0.757249082,,-3.133252387,,-3.126445614
-0.96,0.06,0.01,-1,0,0,,-0.893245047,,-3.201084144,,-3.057296414
-1.01,0.04,0.05,-1,0,0,,-0.779915076,,-3.155862973,,-3.149495348
-0.92,-0.01,0.07,-1,0,0,,-0.983909024,,-3.042810044,,-3.195594815
-0.97,-0.04,-0.04,-1,0,0,,-0.870579053,,-2.974978287,,-2.942047746
-0.98,-0.07,0.03,-1,0,0,,-0.847913058,,-2.90714653,,-3.103395881
-0.99,0.01,0.03,-1,0,0,,-0.825247064,,-3.088031216,,-3.103395881
-0.98,0,0.02,-1,0,0,,-0.847913058,,-3.06542063,,-3.080346147
-0.97,0.02,0.02,-1,0,0,,-0.870579053,,-3.110641801,,-3.080346147
-0.91,-0.02,0.08,-1,0,0,,-1.006575018,,-3.020199459,,-3.218644549
-1.09,0.08,0.08,-1,0,0,,-0.598587122,,-3.246305316,,-3.218644549
-0.95,0.03,0,-1,0,0,,-0.915911041,,-3.133252387,,-3.03424668
-1,-0.01,0.01,-1,0,0,,-0.80258107,,-3.042810044,,-3.057296414
-0.97,0.05,0.03,-1,0,0,,-0.870579053,,-3.178473559,,-3.103395881
-0.92,0.03,0,-1,0,0,,-0.983909024,,-3.133252387,,-3.03424668
-1,-0.01,0.03,-1,0,0,,-0.80258107,,-3.042810044,,-3.103395881
-1.09,-0.02,0.03,-1,0,0,,-0.598587122,,-3.020199459,,-3.103395881
-1.03,0.04,0.01,-1,0,0,,-0.734583087,,-3.155862973,,-3.057296414
-0.98,0.04,0.08,-1,0,0,,-0.847913058,,-3.155862973,,-3.218644549
-0.96,0.08,0.06,-1,0,0,,-0.893245047,,-3.246305316,,-3.172545082
-0.96,-0.02,-0.01,-1,0,0,,-0.893245047,,-3.020199459,,-3.011196946
-0.9,0.01,0.01,-1,0,0,,-1.029241012,,-3.088031216,,-3.057296414
-0.93,-0.03,-0.01,-1,0,0,,-0.961243029,,-2.997588873,,-3.011196946
-1.01,0.01,0.06,-1,0,0,,-0.779915076,,-3.088031216,,-3.172545082
-1,0.01,-0.01,-1,0,0,,-0.80258107,,-3.088031216,,-3.011196946
-0.94,0.01,0.07,-1,0,0,,-0.938577035,,-3.088031216,,-3.195594815
-0.96,-0.03,0.04,-1,0,0,,-0.893245047,,-2.997588873,,-3.126445614
-1,0.02,-0.01,-1,0,0,,-0.80258107,,-3.110641801,,-3.011196946
-0.97,0,0.06,-1,0,0,,-0.870579053,,-3.06542063,,-3.172545082
-0.97,0.01,0.03,-1,0,0,,-0.870579053,,-3.088031216,,-3.103395881
-0.99,0.05,0.01,-1,0,0,,-0.825247064,,-3.178473559,,-3.057296414
-1.01,0.05,0.09,-1,0,0,,-0.779915076,,-3.178473559,,-3.241694282
-1.05,-0.02,0.05,-1,0,0,,-0.689251099,,-3.020199459,,-3.149495348
-0.97,-0.05,0.01,-1,0,0,,-0.870579053,,-2.952367702,,-3.057296414
-0.94,0,-0.03,-1,0,0,,-0.938577035,,-3.06542063,,-2.965097479
-0.93,-0.02,0.04,-1,0,0,,-0.961243029,,-3.020199459,,-3.126445614
-0.92,0.01,-0.03,-1,0,0,,-0.983909024,,-3.088031216,,-2.965097479
-0.93,0.02,0.03,-1,0,0,,-0.961243029,,-3.110641801,,-3.103395881
-1.01,-0.01,0.04,-1,0,0,,-0.779915076,,-3.042810044,,-3.126445614
-0.88,-0.03,0.07,-1,0,0,,-1.074573,,-2.997588873,,-3.195594815
-0.93,0,0.07,-1,0,0,,-0.961243029,,-3.06542063,,-3.195594815
-0.94,-0.01,0.05,-1,0,0,,-0.938577035,,-3.042810044,,-3.149495348
-0.98,0.01,-0.02,-1,0,0,,-0.847913058,,-3.088031216,,-2.988147213
-0.99,0.09,0.07,-1,0,0,,-0.825247064,,-3.268915901,,-3.195594815
-1.04,0.07,0.1,-1,0,0,,-0.711917093,,-3.22369473,,-3.264744016
-0.92,-0.03,0.03,-1,0,0,,-0.983909024,,-2.997588873,,-3.103395881
-0.96,0.03,0.07,-1,0,0,,-0.893245047,,-3.133252387,,-3.195594815
0.01,0.06,0.95,0,0,1,,-3.091846484,,-3.201084144,,-5.223971372
0.02,-0.02,1.04,0,0,1,,-3.114512478,,-3.020199459,,-5.431418974
-0.04,0,1.01,0,0,1,,-2.978516513,,-3.06542063,,-5.362269774
0.05,0,0.93,0,0,1,,-3.182510461,,-3.06542063,,-5.177871905
0.01,0,0.97,0,0,1,,-3.091846484,,-3.06542063,,-5.270070839
0.05,-0.01,1,0,0,1,,-3.182510461,,-3.042810044,,-5.33922004
0.09,0,1.06,0,0,1,,-3.273174438,,-3.06542063,,-5.477518442
0.04,-0.06,0.91,0,0,1,,-3.159844467,,-2.929757116,,-5.131772438
-0.02,-0.01,0.97,0,0,1,,-3.023848502,,-3.042810044,,-5.270070839
0.03,-0.05,0.96,0,0,1,,-3.137178473,,-2.952367702,,-5.247021106
0.01,-0.04,0.99,0,0,1,,-3.091846484,,-2.974978287,,-5.316170306
0.05,0.02,1.04,0,0,1,,-3.182510461,,-3.110641801,,-5.431418974
0.01,0.01,1.05,0,0,1,,-3.091846484,,-3.088031216,,-5.454468708
0.01,-0.03,0.99,0,0,1,,-3.091846484,,-2.997588873,,-5.316170306
0.07,-0.01,1,0,0,1,,-3.227842449,,-3.042810044,,-5.33922004
